,斷詞,次數
177,最大,1
178,開始,1
179,艦,1
180,更別,1
181,還不錯,1
182,載體,1
183,差,1
184,H264265,1
185,x300pro,1
186,航比,1
187,小白續,1
188,6600mAh,1
189,ultra,1
190,禁止,1
191,大多,1
192,搶購,1
193,瘋狂,1
194,千,1
195,8,1
196,折扣,1
197,萬再給,1
198,先加,1
199,慣例,1
200,到,1
201,600GB,1
202,10,1
203,算錄,1
204,1GB,1
205,每,1
206,以,1
207,httpsiimgurcomsvToLzDjpeg,1
208,巨大,1
209,RAWVideo,1
210,依照,1
211,S26U,1
212,重看,1
213,一次,1
214,色彩,1
215,花,1
216,軟體,1
217,放大,1
218,先,1
219,打開,1
220,每次,1
221,廣,1
222,越做越,1
223,機主鏡,1
224,手,1
225,超好,1
226,35,1
227,模式,1
228,萊卡,1
229,端出,1
230,有限,1
231,似乎,1
232,進步,1
233,硬體,1
234,這代軟,1
235,關注,1
236,少之又少,1
237,log,1
238,用到,1
239,最經典,1
240,拍照,1
241,某某,1
242,根本,1
243,調教,1
244,可玩性,1
245,之前,1
246,小拼,1
247,暢度,1
248,銜接,1
249,處理,1
250,鏡頭,1
251,200MP,1
252,兩顆,1
253,第一台,1
254,之,1
255,哪有,1
256,用途,1
257,精確,1
258,尺寸,1
259,圖,1
260,變形,1
261,強相機,1
262,物件,1
263,畫面,1
264,環拍,1
265,50mm,1
266,建模,1
267,Photogrammetry,1
268,做,1
269,光譜,1
270,億主鏡,1
271,換兩,1
272,改硬體,1
273,小,1
274,介面,1
275,X300U35mm,1
276,配,1
277,X300Pro,1
278,打通,1
279,下,1
280,17PM,1
281,約,1
282,位段,1
283,這個價,1
284,起步,1
285,50000,1
286,幣台幣,1
287,5127999,1
288,37990X300Ultra16,1
289,5125999,1
290,X300Pro16,1
291,工作,1
292,同時,1
293,最低,1
294,標準化,1
295,颶風,1
296,影視,1
297,X100U,1
298,同期,1
299,24U,1
300,會不會,1
301,S24U,1
302,暴漲,1
303,預期,1
304,720G,1
305,錄一個,1
306,歐版,1
307,512GB,1
308,還貴,1
309,多久,1
310,抬,1
311,x100u,1
312,浮水印,1
313,s24u,1
314,阿為,1
315,一下,1
316,改,1
317,單位,1
318,貨幣,1
319,標題,1
320,符號,1
321,幣標題,1
322,7999,1
323,轎,1
324,17Ultra,1
325,一截,1
326,在給,1
327,反而,1
328,商單,1
329,美學,1
330,科技,1
331,網友,1
332,中國,1
333,大勝利,1
334,就算,1
335,破千,1
336,銷售,1
337,全台,1
338,程度,1
339,算給,1
340,請,1
341,原生,1
342,U,1
343,恭喜,1
344,不凡,1
345,尊貴,1
346,箱加,1
347,粉開,1
348,httpiimgurcomvTS1kQljpg,1
349,規格,1
350,砍,1
351,國際版會,1
352,10667,1
353,96001T,1
354,零售版,1
355,X300S,1
356,粉以,1
357,很棒,1
358,httpiimgurcomhPX1Odwjpg,1
359,正確,1
360,下面,1
361,假圖,1
362,擠,1
363,道,1
364,吹難,1
365,不能,1
366,滿,1
367,堆料,1
368,漲價,1
369,板上,1
370,只,1
371,萬不覺,1
372,NCC,1
373,更是,1
374,Fold5,1
375,疊,1
376,摺,1
377,X100pX300p,1
378,用戶,1
379,新吸,1
380,然後再,1
381,50990,1
382,S26u512G,1
383,規格要,1
384,進,1
385,按照,1
386,其他,1
387,幣不,1
388,200ultra,1
389,訂價,1
390,交朋友,1
391,一點,1
392,猜定價,1
393,心動,1
394,23u,1
395,誠意,1
396,連價格,1
397,相機,1
398,廠牌,1
399,X300pro,1
400,感覺,1
401,猛吹,1
402,還,1
403,不然,1
404,512G,1
405,16,1
406,好險,1
407,遠,1
408,非常,1
409,坐,1
410,阿是,1
411,看起,1
412,httpsweibocomtvshow10345282193241473093httpslurusaicc5H74Njpg,1
413,記憶體,1
414,只有,1
415,竟然,1
416,狂吹,1
417,艦機,1
418,旗,1
419,httpsmweibocndetail5282267190795522512G,1
420,46,1
421,梁靜茹,1
422,這是,1
423,囂張,1
424,一萬,1
425,16g512ghttpsiurusaiccg9zKIjpg,1
426,48990or49990,1
427,萬感覺,1
428,海峽,1
429,難兄,1
430,難弟,1
431,11999,1
432,六萬,1
433,喜歡,1
434,既視感,1
435,ROG,1
436,幣了,1
437,臺,1
438,頂配,1
439,樓,1
440,當然,1
441,httpssharegooglekeNa8515VCf8hS8TL,1
442,認三色,1
443,發台灣確,1
444,同步,1
445,媒體,1
446,另外,1
447,版國際版,1
448,衛星,1
449,搭,1
450,定度,1
451,這穩,1
452,若,1
453,如何,1
454,現畫質,1
455,難體,1
456,確實,1
457,照遠近,1
458,15,1
459,得,1
460,300S,1
461,a,1
462,14300U,1
463,擠不夠,1
464,拿,1
465,天天,1
466,願意,1
467,X300,1
468,X300s,1
469,X9proX300pro,1
470,簡單,1
471,細說,1
472,過個,1
473,不好意思,1
474,幾週,1
475,好像,1
476,預計,1
477,香港,1
478,httpsimopixccIatPQ7jpg,1
479,x9pro,1
480,級別,1
481,x9U,1
482,大陸,1
483,剛好,1
484,家人,1
485,一,1
486,哪,1
487,起來,1
488,看小白,1
489,大會,1
490,300u,1
491,iPhone,1
492,刺激,1
493,手持,1
494,半公斤,1
495,東西,1
496,整坨,1
497,接個,1
498,外,1
499,還要,1
500,距鏡然,1
501,裝增,1
502,2TB,1
503,推個,1
504,想學,1
505,300U,1
506,艦不會,1
507,錄像,1
508,疑惑,1
509,令,1
510,拍到,1
511,想要,1
512,不要,1
513,六萬買,1
514,畫質,1
515,頗,1
516,還行,1
517,本體,1
518,oppox9pro,1
519,請問,1
520,想,1
521,49,1
522,httpsimopixccM8iqBDjpghttpsimopixccjxnguejpghttpsimopixcctIMuARjpghttpsimopixccuEZ5rXjpghttpsimopixccHsxuULjpghttpsimopixccB2uvRQjpghttpsimopixccfQ4XHjjpghttpsimopixccSzebpnjpghttpsimopixcc0XdK29jpghttpsimopixccToTdwZjpghttpsimopixccfd9bzVjpghttpsimopixccWNp3VPjpg,1
523,多少,1
524,陸版差,1
525,算下,1
526,httpsimopixccbziHVMjpghttpsimopixccngAU85jpg,1
527,限量,1
528,折,1
529,電商現,1
530,新加碼,1
531,X300P,1
532,版,1
533,發台,1
534,印象,1
535,56,1
536,N6,1
537,發表,1
538,太難,1
539,通常,1
540,價,1
541,入手,1
542,佛,1
543,開獎,1
544,還沒,1
545,OppoN6,1
546,心,1
547,多佛,1
548,阿庫,1
549,咱,1
550,17promax1200,1
551,美金,1
552,1850,1
553,a6700,1
554,不如,1
555,起,1
556,38990,1
557,估計,1
558,不行,1
559,接下,1
560,有手,1
561,叔叔,1
562,阿盧,1
563,httpsyoutubekbGcVleJs20,1
564,噴貴,1
565,彈目,1
566,對岸,1
567,鈡文澤,1
568,完,1
569,httpsyoutubegvLzNZ3c3owZPH,1
570,引進,1
571,XD,1
572,484,1
573,看來,1
574,台票,1
575,449k,1
576,賣,1
577,觀察,1
